signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Rex Hudler,Ron Blomberg,1978,Rex,Hudler,Ron,Blomberg,hudlr001,blomr101
Tim Conroy,Mike Jorgensen,1978,Tim,Conroy,Mike,Jorgensen,conrt001,jorgm001
Jerry Aubin,Terry Forster,1978,Jerry,Aubin,Terry,Forster,Jerry Aubin,forst001
Matt Winters,Mike Torrez,1978,Matt,Winters,Mike,Torrez,wintm001,torrm001
Larry Sheets,Elliott Maddox,1978,Larry,Sheets,Elliott,Maddox,sheel001,madde101
Dave White,Oscar Gamble,1978,Dave,White,Oscar,Gamble,Dave White,gambo001
Richard Naumann,Ray Fosse,1978,Richard,Naumann,Ray,Fosse,Richard Naumann,fossr101
Eddie Hook,Ross Grimsley,1978,Eddie,Hook,Ross,Grimsley,Eddie Hook,grimr101
Doug Gwosdz,Merv Rettenmund,1978,Doug,Gwosdz,Merv,Rettenmund,gwosd001,rettm101
Cecil Whitehead,Dick Drago,1978,Cecil,Whitehead,Dick,Drago,Cecil Whitehead,dragd101
Mike Maitland,Jack Brohamer,1978,Mike,Maitland,Jack,Brohamer,Mike Maitland,brohj101
Scott Garrelts,Jim Barr,1979,Scott,Garrelts,Jim,Barr,garrs001,barrj101
Steve Howe,Lee Lacy,1979,Steve,Howe,Lee,Lacy,howes001,lacyl001
Ricky Seilheimer,Steve Stone,1979,Ricky,Seilheimer,Steve,Stone,seilr101,stons101
Danny Lamar,Pete Rose,1979,Danny,Lamar,Pete,Rose,Danny Lamar,rosep001
Chris Baker,Jim Slaton,1979,Chris,Baker,Jim,Slaton,Chris Baker,slatj001
Bob Geren,Derrel Thomas,1979,Bob,Geren,Derrel,Thomas,gereb001,thomd001
Steve Perry,Tommy John,1979,Steve,Perry,Tommy,John,Steve Perry,johnt001
Mike Stenhouse,Steve Renko,1979,Mike,Stenhouse,Steve,Renko,stenm001,renks101
Keefe Cato,Mike Lum,1979,Keefe,Cato,Mike,Lum,catok001,lum-m101
Michael Kwiecinski,Darold Knowles,1979,Michael,Kwiecinski,Darold,Knowles,Michael Kwiecinski,knowd101
Mark Ferguson,Elias Sosa,1979,Mark,Ferguson,Elias,Sosa,Mark Ferguson,sosae101
Jose DeLeon,Duffy Dyer,1979,Jose,DeLeon,Duffy,Dyer,delej001,dyerd101
Dennis Rasmussen,Nolan Ryan,1980,Dennis,Rasmussen,Nolan,Ryan,rasmd001,ryann001
Rick Renteria,Bruce Kison,1980,Rick,Renteria,Bruce,Kison,Rick Renteria,kisob001
Jim Acker,Rowland Office,1980,Jim,Acker,Rowland,Office,ackej001,offir101
Terry Francona,Rudy May,1980,Terry,Francona,Rudy,May,frant001,may-r101
Billy Beane,Andy Hassler,1980,Billy,Beane,Andy,Hassler,beanb001,hassa001
John Gibbons,Skip Lockwood,1980,John,Gibbons,Skip,Lockwood,gibbj001,locks101
Eric Erickson,John Curtis,1980,Eric,Erickson,John,Curtis,Eric Erickson,curtj001
Jeff Horne,Rennie Stennett,1980,Jeff,Horne,Rennie,Stennett,Jeff Horne,stenr101
Jim Weaver,Dave Goltz,1980,Jim,Weaver,Dave,Goltz,weavj001,goltd101
Turner Gill,Jorge Orta,1980,Turner,Gill,Jorge,Orta,Turner Gill,ortaj001
Jim Pettibone,Joe Morgan,1980,Jim,Pettibone,Joe,Morgan,Jim Pettibone,morgj001
Mike Olson,Freddie Patek,1980,Mike,Olson,Freddie,Patek,Mike Olson,patef101
Dave Miley,Fred Norman,1980,Dave,Miley,Fred,Norman,Dave Miley,normf101
Mike Brown,Bob Watson,1980,Mike,Brown,Bob,Watson,browm003,watsb001
Joe Hesketh,Tony Perez,1980,Joe,Hesketh,Tony,Perez,heskj001,peret001
Gregory Pope,Rick Wise,1980,Gregory,Pope,Rick,Wise,Gregory Pope,wiser101
Al Heath,Milt May,1980,Al,Heath,Milt,May,Al Heath,may-m001
Ken Dixon,Don Stanhouse,1980,Ken,Dixon,Don,Stanhouse,dixok001,stand101
David Christianson,Jay Johnstone,1980,David,Christianson,Jay,Johnstone,David Christianson,johnj002
Vance Lovelace,Larry Biittner,1981,Vance,Lovelace,Larry,Biittner,lovev001,biitl101
John Cerutti,Roy Howell,1981,John,Cerutti,Roy,Howell,ceruj001,hower001
Al Lachowicz,Dave Roberts,1981,Al,Lachowicz,Dave,Roberts,lacha101,robed102
Kevin Burrell,Jim Dwyer,1981,Kevin,Burrell,Jim,Dwyer,Kevin Burrell,dwyej001
Frank Castro,Dave Winfield,1981,Frank,Castro,Dave,Winfield,Frank Castro,winfd001
Jeff Carl,John D'Acquisto,1981,Jeff,Carl,John,D'Acquisto,Jeff Carl,dacqj101
Chuckie Canady,Rusty Staub,1981,Chuckie,Canady,Rusty,Staub,Chuckie Canady,staur001
Mike Gallego,Jim Essian,1981,Mike,Gallego,Jim,Essian,gallm001,essij001
Mark Gubicza,Darrell Porter,1981,Mark,Gubicza,Darrell,Porter,gubim001,portd001
Mark Langston,Bill Stein,1981,Mark,Langston,Bill,Stein,langm001,steib001
John Christensen,Claudell Washington,1981,John,Christensen,Claudell,Washington,chrij001,washc001
Lemmie Miller,Don Sutton,1981,Lemmie,Miller,Don,Sutton,milll001,suttd001
Craig Henderson,Jose Morales,1981,Craig,Henderson,Jose,Morales,Craig Henderson,moraj001
John Marzano,Geoff Zahn,1981,John,Marzano,Geoff,Zahn,marzj001,zahng001
Curt Wardle,Mike Cubbage,1981,Curt,Wardle,Mike,Cubbage,wardc001,cubbm101
Scott Bradley,Gaylord Perry,1981,Scott,Bradley,Gaylord,Perry,brads001,perrg101
Lee Guetterman,Juan Beniquez,1981,Lee,Guetterman,Juan,Beniquez,guetl001,benij001
Sam Horn,Frank Tanana,1982,Sam,Horn,Frank,Tanana,horns001,tanaf001
Tony Woods,Tim Blackwell,1982,Tony,Woods,Tim,Blackwell,Tony Woods,blact101
Scott Jones,Dave Collins,1982,Scott,Jones,Dave,Collins,Scott Jones,colld001
Jeff Ledbetter,Joe Rudi,1982,Jeff,Ledbetter,Joe,Rudi,Jeff Ledbetter,rudij101
Stan Boderick,Tim Blackwell,1982,Stan,Boderick,Tim,Blackwell,Stan Boderick,blact101
Kevin Romine,Bill Campbell,1982,Kevin,Romine,Bill,Campbell,romik001,campb001
Tim Birtsas,Reggie Jackson,1982,Tim,Birtsas,Reggie,Jackson,birtt001,jackr001
Joel Davis,Steve Kemp,1983,Joel,Davis,Steve,Kemp,davij002,kemps001
Brian Holman,Joel Youngblood,1983,Brian,Holman,Joel,Youngblood,holmb001,younj001
Terry Bell,Floyd Bannister,1983,Terry,Bell,Floyd,Bannister,bellt001,bannf001
Stan Jefferson,Pete Falcone,1983,Stan,Jefferson,Pete,Falcone,jeffs001,falcp001
Calvin Schiraldi,Pete Falcone,1983,Calvin,Schiraldi,Pete,Falcone,schic001,falcp001
Russ Morman,Bill Almon,1983,Russ,Morman,Bill,Almon,mormr001,almob001
Mike Brumley,Tom Burgmeier,1983,Mike,Brumley,Tom,Burgmeier,brumm001,burgt001
Stan Fansler,Omar Moreno,1983,Stan,Fansler,Omar,Moreno,fanss001,moreo001
Mike Cherry,Steve Garvey,1983,Mike,Cherry,Steve,Garvey,Mike Cherry,garvs001
Paul Oates,Gene Tenace,1983,Paul,Oates,Gene,Tenace,Paul Oates,tenag101
Joe Oliver,Bob Shirley,1983,Joe,Oliver,Bob,Shirley,olivj001,shirb001
Luis Lopez,Terry Forster,1983,Luis,Lopez,Terry,Forster,lopel001,forst001
Wally Joyner,Don Baylor,1983,Wally,Joyner,Don,Baylor,joynw001,bayld001
Tony Menendez,Dennis Lamp,1984,Tony,Menendez,Dennis,Lamp,menet001,lampd001
Terry Mulholland,Darrell Evans,1984,Terry,Mulholland,Darrell,Evans,mulht001,evand001
Gary Green,Ruppert Jones,1984,Gary,Green,Ruppert,Jones,greeg001,joner002
Norm Charlton,Manny Trillo,1984,Norm,Charlton,Manny,Trillo,charn001,trilm001
Terry Green,Frank LaCorte,1984,Terry,Green,Frank,LaCorte,Terry Green,lacof001
Kurt Dempster,Lary Sorensen,1984,Kurt,Dempster,Lary,Sorensen,Kurt Dempster,sorel001
Mike Cook,Fred Lynn,1985,Mike,Cook,Fred,Lynn,cookm001,lynnf001
Rafael Palmeiro,Tim Stoddard,1985,Rafael,Palmeiro,Tim,Stoddard,palmr001,stodt001
Joey Cora,Ed Whitson,1985,Joey,Cora,Ed,Whitson,coraj001,white001
Bill McGuire,Steve Henderson,1985,Bill,McGuire,Steve,Henderson,mcgub001,hends001
Rick Balabon,Tim Belcher,1985,Rick,Balabon,Tim,Belcher,Rick Balabon,belct001
Mike Watters,Burt Hooton,1985,Mike,Watters,Burt,Hooton,Mike Watters,hootb001
Bruce Ruffin,Sixto Lezcano,1985,Bruce,Ruffin,Sixto,Lezcano,ruffb001,lezcs001
Jim Fregosi,Bruce Sutter,1985,Jim,Fregosi,Bruce,Sutter,Jim Fregosi,suttb001
Damon Hansel,Lee Lacy,1985,Damon,Hansel,Lee,Lacy,Damon Hansel,lacyl001
Chris Collins,Don Aase,1985,Chris,Collins,Don,Aase,Chris Collins,aased001
Roberto Hernandez,Juan Beniquez,1986,Roberto,Hernandez,Juan,Beniquez,hernr001,benij001
Terry Carr,Al Holland,1986,Terry,Carr,Al,Holland,Terry Carr,holla001
Mike Fetters,Juan Beniquez,1986,Mike,Fetters,Juan,Beniquez,fettm001,benij001
Daryl Green,Al Holland,1986,Daryl,Green,Al,Holland,Daryl Green,holla001
Todd Zeile,Ivan de Jesus,1986,Todd,Zeile,Ivan,De Jesus,zeilt001,dejei001
Ricky Gutierrez,Rick Dempsey,1987,Ricky,Gutierrez,Rick,Dempsey,gutir001,dempr001
Bill Henderson,Lance Parrish,1987,Bill,Henderson,Lance,Parrish,Bill Henderson,parrl001
Bill Haselman,Gary Ward,1987,Bill,Haselman,Gary,Ward,haseb001,wardg001
Pete Harnisch,Rick Dempsey,1987,Pete,Harnisch,Rick,Dempsey,harnp001,dempr001
Tyrone Kingwood,Andre Dawson,1987,Tyrone,Kingwood,Andre,Dawson,Tyrone Kingwood,dawsa001
Mark Petkovsek,Gary Ward,1987,Mark,Petkovsek,Gary,Ward,petkm001,wardg001
Travis Fryman,Lance Parrish,1987,Travis,Fryman,Lance,Parrish,frymt001,parrl001
David Holdridge,Reggie Jackson,1987,David,Holdridge,Reggie,Jackson,holdd001,jackr001
Nate Minchey,Andre Dawson,1987,Nate,Minchey,Andre,Dawson,mincn001,dawsa001
Todd Hundley,Ray Knight,1987,Todd,Hundley,Ray,Knight,hundt001,knigr001
Mike Erb,Reggie Jackson,1987,Mike,Erb,Reggie,Jackson,Mike Erb,jackr001
Curt Krippner,Rick Cerone,1987,Curt,Krippner,Rick,Cerone,Curt Krippner,ceror001
Royce Clayton,Eddie Milner,1988,Royce,Clayton,Eddie,Milner,clayr001,milne001
Charles Nagy,Brett Butler,1988,Charles,Nagy,Brett,Butler,nagyc001,butlb001
John Ericks,Jack Clark,1988,John,Ericks,Jack,Clark,ericj001,clarj001
Jeff Mutis,Brett Butler,1988,Jeff,Mutis,Brett,Butler,mutij001,butlb001
Ted Wood,Chili Davis,1988,Ted,Wood,Chili,Davis,woodt002,davic001
Brian Jordan,Jack Clark,1988,Brian,Jordan,Jack,Clark,jordb001,clarj001
Wynn Beck,Mike Davis,1988,Wynn,Beck,Mike,Davis,Wynn Beck,davim002
Scott Ebert,Chili Davis,1988,Scott,Ebert,Chili,Davis,Scott Ebert,davic001
Ben Howze,Vance Law,1988,Ben,Howze,Vance,Law,Ben Howze,law-v001
Matt Murray,David Palmer,1988,Matt,Murray,David,Palmer,murrm001,palmd001
Dave Silvestri,Jose Cruz,1988,Dave,Silvestri,Jose,Cruz,silvd001,cruzj001
John Kupsey,Glenn Hubbard,1988,John,Kupsey,Glenn,Hubbard,John Kupsey,hubbg001
Derrick Warren,John Candelaria,1988,Derrick,Warren,John,Candelaria,Derrick Warren,candj001
Kiki Jones,Steve Sax,1989,Kiki,Jones,Steve,Sax,Kiki Jones,sax-s001
Greg Blosser,Bruce Hurst,1989,Greg,Blosser,Bruce,Hurst,blosg001,hursb001
Tony Manahan,Mike Moore,1989,Tony,Manahan,Mike,Moore,Tony Manahan,moorm001
Todd Jones,Nolan Ryan,1989,Todd,Jones,Nolan,Ryan,jonet003,ryann001
Jamie McAndrew,Steve Sax,1989,Jamie,McAndrew,Steve,Sax,mcanj001,sax-s001
Kevin Morton,Bruce Hurst,1989,Kevin,Morton,Bruce,Hurst,mortk001,hursb001
Tommy Taylor,Tom Niedenfuer,1989,Tommy,Taylor,Tom,Niedenfuer,Tommy Taylor,niedt001
Brian Hunter,Nolan Ryan,1989,Brian,Hunter,Nolan,Ryan,huntb002,ryann001
Billy Lott,Jesse Orosco,1989,Billy,Lott,Jesse,Orosco,Billy Lott,orosj001
Brian Boltz,Rick Mahler,1989,Brian,Boltz,Rick,Mahler,Brian Boltz,mahlr001
Lance Jennings,Jamie Quirk,1989,Lance,Jennings,Jamie,Quirk,Lance Jennings,quirj001
John Hope,Dave LaPoint,1989,John,Hope,Dave,LaPoint,hopej001,lapod001
Brent Bowers,Rick Leach,1989,Brent,Bowers,Rick,Leach,boweb001,leacr001
Bo Dodson,Jeffrey Leonard,1989,Bo,Dodson,Jeffrey,Leonard,Bo Dodson,leonj001
Todd Van Poppel,Dave Parker,1990,Todd,Van Poppel,Dave,Parker,vanpt001,parkd001
Adam Hyzdu,Ken Oberkfell,1990,Adam,Hyzdu,Ken,Oberkfell,hyzda001,oberk001
Aaron Holbert,Tony Pena,1990,Aaron,Holbert,Tony,Pena,holba001,penat001
Eric Christopherson,Craig Lefferts,1990,Eric,Christopherson,Craig,Lefferts,Eric Christopherson,leffc001
Tom Nevers,Kevin Bass,1990,Tom,Nevers,Kevin,Bass,Tom Nevers,bassk001
Rondell White,Mark Langston,1990,Rondell,White,Mark,Langston,whitr001,langm001
Robbie Beckett,Mark Davis,1990,Robbie,Beckett,Mark,Davis,beckr003,davim001
Mike Zimmerman,Jim Gott,1990,Mike,Zimmerman,Jim,Gott,Mike Zimmerman,gottj001
Gabe White,Mark Langston,1990,Gabe,White,Mark,Langston,whitg001,langm001
Midre Cummings,Jeff Reardon,1990,Midre,Cummings,Jeff,Reardon,cummm001,rearj001
Paul Ellis,Tony Pena,1990,Paul,Ellis,Tony,Pena,Paul Ellis,penat001
Brian Williams,Kevin Bass,1990,Brian,Williams,Kevin,Bass,willb001,bassk001
Scott Sanders,Mark Davis,1990,Scott,Sanders,Mark,Davis,sands002,davim001
Marcus Jensen,Craig Lefferts,1990,Marcus,Jensen,Craig,Lefferts,jensm001,leffc001
Dave Zancanaro,Storm Davis,1990,Dave,Zancanaro,Storm,Davis,Dave Zancanaro,davis001
Stan Spencer,Hubie Brooks,1990,Stan,Spencer,Hubie,Brooks,spens002,brooh001
Kirk Dressendorfer,Dave Parker,1990,Kirk,Dressendorfer,Dave,Parker,dresk001,parkd001
Ben Van Ryn,Pascual Perez,1990,Ben,VanRyn,Pascual,Perez,vanrb001,perep001
Frankie Rodriguez,Nick Esasky,1990,Frankie,Rodriguez,Nick,Esasky,rodrf001,esasn001
Curtis Shaw,Tony Phillips,1990,Curtis,Shaw,Tony,Phillips,Curtis Shaw,philt001
Robert Eenhoorn,Walt Terrell,1990,Robert,Eenhoorn,Walt,Terrell,eenhr001,terrw001
Darrell Whitmore,Pete O'Brien,1990,Darrell,Whitmore,Pete,O'Brien,whitd002,obrip001
Mike Hardge,Hubie Brooks,1990,Mike,Hardge,Hubie,Brooks,Mike Hardge,brooh001
Tavo Alvarez,Pascual Perez,1990,Tavo,Alvarez,Pascual,Perez,alvat001,perep001
Chris Martin,Bryn Smith,1990,Chris,Martin,Bryn,Smith,martc007,smitb001
Ron Caridad,Jeff Reardon,1990,Ron,Caridad,Jeff,Reardon,Ron Caridad,rearj001
Keith Grunewald,Fred Lynn,1990,Keith,Grunewald,Fred,Lynn,Keith Grunewald,lynnf001
Eric Helfand,Storm Davis,1990,Eric,Helfand,Storm,Davis,helfe001,davis001
Eric Maloney,Richard Dotson,1990,Eric,Maloney,Richard,Dotson,Eric Maloney,dotsr001
Leroy Williams,Dave Anderson,1990,Leroy,Williams,Dave,Anderson,Leroy Williams,anded001
Jeff Williams,Dave Schmidt,1990,Jeff,Williams,Dave,Schmidt,willj002,schmd001
Joe Rosselli,Candy Maldonado,1990,Joe,Rosselli,Candy,Maldonado,rossj001,maldc001
Tim Hyers,Lloyd Moseby,1990,Tim,Hyers,Lloyd,Moseby,hyert001,mosel001
Troy Bradford,Scott Sanderson,1990,Troy,Bradford,Scott,Sanderson,Troy Bradford,sands001
Scott Freeman,John Tudor,1990,Scott,Freeman,John,Tudor,Scott Freeman,tudoj001
Jamie Ogden,Wally Backman,1990,Jamie,Ogden,Wally,Backman,Jamie Ogden,backw001
John Schulte,Jim Gott,1990,John,Schulte,Jim,Gott,John Schulte,gottj001
Ty Hill,Rob Deer,1991,Ty,Hill,Rob,Deer,hillt802,deerr001
Shawn Green,Bud Black,1991,Shawn,Green,Bud,Black,grees001,blacb101
Al Shirley,Darryl Strawberry,1991,Al,Shirley,Darryl,Strawberry,Al Shirley,strad001
Allen Watson,Ken Dayley,1991,Allen,Watson,Ken,Dayley,watsa001,daylk001
Brian Barber,Vince Coleman,1991,Brian,Barber,Vince,Coleman,barbb002,colev001
Scott Stahoviak,Gary Gaetti,1991,Scott,Stahoviak,Gary,Gaetti,stahs001,gaetg001
Tom McKinnon,Terry Pendleton,1991,Tom,McKinnon,Terry,Pendleton,Tom McKinnon,pendt001
Shawn Livesey,Danny Darwin,1991,Shawn,Livesey,Danny,Darwin,Shawn Livesey,darwd001
Jason Pruitt,Steve Farr,1991,Jason,Pruitt,Steve,Farr,Jason Pruitt,farrs001
Pepper Anthony,Jack Clark,1991,Pepper,Anthony,Jack,Clark,Pepper Anthony,clarj001
Justin Thompson,Jack Morris,1991,Justin,Thompson,Jack,Morris,thomj003,morrj001
Steve Whitaker,Brett Butler,1991,Steve,Whitaker,Brett,Butler,whits101,butlb001
Jorge Fabregas,Chili Davis,1991,Jorge,Fabregas,Chili,Davis,fabrj001,davic001
Jeff Ware,George Bell,1991,Jeff,Ware,George,Bell,warej001,bellg001
Bobby Jones,Darryl Strawberry,1991,Bobby,Jones,Darryl,Strawberry,joneb003,strad001
J.J. Johnson,Larry Andersen,1991,J.J.,Johnson,Larry,Andersen,J.J. Johnson,andel001
Mike Rossiter,Willie McGee,1991,Mike,Rossiter,Willie,McGee,Mike Rossiter,mcgew001
Dan Cholowsky,Ken Dayley,1991,Dan,Cholowsky,Ken,Dayley,Dan Cholowsky,daylk001
Jimmy Gonzalez,Dave Smith,1991,Jimmy,Gonzalez,Dave,Smith,Jimmy Gonzalez,smitd001
Trever Miller,Mike Heath,1991,Trever,Miller,Mike,Heath,millt002,heatm001
Scott Hatteberg,Mike Boddicker,1991,Scott,Hatteberg,Mike,Boddicker,hatts001,boddm001
Mike Groppuso,Franklin Stubbs,1991,Mike,Groppuso,Franklin,Stubbs,Mike Groppuso,stubf001
Ryan Long,Steve Farr,1991,Ryan,Long,Steve,Farr,longr001,farrs001
Eddie Williams,Terry Pendleton,1991,Eddie,Williams,Terry,Pendleton,wille001,pendt001
Buck McNabb,Juan Agosto,1991,Buck,McNabb,Juan,Agosto,Buck McNabb,agosj001
Jim Lewis,Franklin Stubbs,1991,Jim,Lewis,Franklin,Stubbs,Jim Lewis,stubf001
Terry Horn,Mike Boddicker,1991,Terry,Horn,Mike,Boddicker,Terry Horn,boddm001
Trevor Mallory,George Bell,1991,Trevor,Mallory,George,Bell,Trevor Mallory,bellg001
Mike Neill,Willie McGee,1991,Mike,Neill,Willie,McGee,neilm001,mcgew001
Rod Pedraza,Kevin Gross,1991,Rod,Pedraza,Kevin,Gross,Rod Pedraza,grosk001
Judd Wilstead,Bill Krueger,1991,Judd,Wilstead,Bill,Krueger,Judd Wilstead,krueb001
Marc Kroon,Pat Tabler,1991,Marc,Kroon,Pat,Tabler,kroom001,tablp001
Dan Jones,Sid Bream,1991,Dan,Jones,Sid,Bream,Dan Jones,breas001
Brian Edmondson,Ed Nunez,1991,Brian,Edmondson,Ed,Nunez,edmob001,nunee001
Todd Hollandsworth,Kirk Gibson,1991,Todd,Hollandsworth,Kirk,Gibson,hollt001,gibsk001
Mark Hubbard,Dave Righetti,1991,Mark,Hubbard,Dave,Righetti,Mark Hubbard,righd001
Jim Pittsley,Kurt Stillwell,1992,Jim,Pittsley,Kurt,Stillwell,pittj002,stilk001
Chris Roberts,Frank Viola,1992,Chris,Roberts,Frank,Viola,Chris Roberts,violf001
Shannon Stewart,Tom Candiotti,1992,Shannon,Stewart,Tom,Candiotti,stews002,candt001
Jeff Schmidt,Wally Joyner,1992,Jeff,Schmidt,Wally,Joyner,schmj002,joynw001
Jon Ward,Frank Viola,1992,Jon,Ward,Frank,Viola,Jon Ward,violf001
Sherard Clinkscales,Danny Tartabull,1992,Sherard,Clinkscales,Danny,Tartabull,Sherard Clinkscales,tartd001
Ryan Luzinski,Eddie Murray,1992,Ryan,Luzinski,Eddie,Murray,Ryan Luzinski,murre001
Shon Walker,Bobby Bonilla,1992,Shon,Walker,Bobby,Bonilla,Shon Walker,bonib001
Brandon Cromer,Tom Candiotti,1992,Brandon,Cromer,Tom,Candiotti,Brandon Cromer,candt001
Johnny Damon,Kurt Stillwell,1992,Johnny,Damon,Kurt,Stillwell,damoj001,stilk001
Mike Moore,Mike Morgan,1992,Mike,Moore,Mike,Morgan,moorm001,morgm001
Jon Lieber,Danny Tartabull,1992,Jon,Lieber,Danny,Tartabull,liebj001,tartd001
Danny Clyburn,Bobby Bonilla,1992,Danny,Clyburn,Bobby,Bonilla,clybd001,bonib001
Chris Smith,Wally Joyner,1992,Chris,Smith,Wally,Joyner,Chris Smith,joynw001
Dwaine Bostic,Mike Morgan,1992,Dwaine,Bostic,Mike,Morgan,Dwaine Bostic,morgm001
Rick Magdelano,Mariano Duncan,1992,Rick,Magdelano,Mariano,Duncan,Rick Magdelano,duncm001
Marquis Riley,Kirk McCaskill,1992,Marquis,Riley,Kirk,McCaskill,Marquis Riley,mccak001
Tom Knauss,Dan Gladden,1992,Tom,Knauss,Dan,Gladden,Tom Knauss,gladd001
Gabe Alvarez,Mike Gallego,1992,Gabe,Alvarez,Mike,Gallego,alvag001,gallm001
Dwight Maness,Eddie Murray,1992,Dwight,Maness,Eddie,Murray,Dwight Maness,murre001
Chris Carpenter,Tom Henke,1993,Chris,Carpenter,Tom,Henke,carpc002,henkt001
Torii Hunter,John Smiley,1993,Torii,Hunter,John,Smiley,huntt001,smilj001
Jon Ratliff,Greg Maddux,1993,Jon,Ratliff,Greg,Maddux,ratlj001,maddg002
Kelly Wunsch,Paul Molitor,1993,Kelly,Wunsch,Paul,Molitor,wunsk001,molip001
Kevin Orie,Greg Maddux,1993,Kevin,Orie,Greg,Maddux,oriek001,maddg002
Mike Bell,Jose Guzman,1993,Mike,Bell,Jose,Guzman,bellm003,guzmj001
Josue Estrada,Spike Owen,1993,Josue,Estrada,Spike,Owen,Josue Estrada,owens001
Pat Watkins,Greg Swindell,1993,Pat,Watkins,Greg,Swindell,watkp001,swing001
Marc Barcelo,John Smiley,1993,Marc,Barcelo,John,Smiley,Marc Barcelo,smilj001
Jermaine Allensworth,Doug Drabek,1993,Jermaine,Allensworth,Doug,Drabek,allej001,drabd001
Todd Dunn,Chris Bosio,1993,Todd,Dunn,Chris,Bosio,dunnt001,bosic001
Willie Adams,Dave Stewart,1993,Willie,Adams,Dave,Stewart,adamw001,stewd001
Matt Farner,David Cone,1993,Matt,Farner,David,Cone,Matt Farner,coned001
Kelcey Mucker,Greg Gagne,1993,Kelcey,Mucker,Greg,Gagne,Kelcey Mucker,gagng001
Joe Wagner,Paul Molitor,1993,Joe,Wagner,Paul,Molitor,wagnj101,molip001
Mark Lukasiewicz,Jimmy Key,1993,Mark,Lukasiewicz,Jimmy,Key,lukam001,key-j001
Jeremy Lee,Tom Henke,1993,Jeremy,Lee,Tom,Henke,Jeremy Lee,henkt001
Charles Rice,Barry Bonds,1993,Charles,Rice,Barry,Bonds,Charles Rice,bondb001
Brian Banks,Chris Bosio,1993,Brian,Banks,Chris,Bosio,bankb001,bosic001
Nate Dishington,Todd Worrell,1993,Nate,Dishington,Todd,Worrell,Nate Dishington,worrt001
Tony Medrano,David Cone,1993,Tony,Medrano,David,Cone,Tony Medrano,coned001
Edwin Diaz,Jose Guzman,1993,Edwin,Diaz,Jose,Guzman,diaze004,guzmj001
Kevin Pickford,Doug Drabek,1993,Kevin,Pickford,Doug,Drabek,pickk001,drabd001
Martin Mainville,Spike Owen,1993,Martin,Mainville,Spike,Owen,Martin Mainville,owens001
Ryan Jones,Manuel Lee,1993,Ryan,Jones,Manuel,Lee,Ryan Jones,lee-m001
Mike Moschetti,Dave Stewart,1993,Mike,Moschetti,Dave,Stewart,Mike Moschetti,stewd001
Macey Brooks,Mike Felder,1993,Macey,Brooks,Mike,Felder,Macey Brooks,feldm001
Brett King,Chris James,1993,Brett,King,Chris,James,Brett King,jamec001
